#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
  1.15031e+09     -21.3609
  1.15062e+09     -21.4075
  1.15094e+09     -21.4505
  1.15125e+09     -21.4863
  1.15156e+09     -21.5203
  1.15188e+09     -21.5469
  1.15219e+09     -21.5656
   1.1525e+09     -21.5787
  1.15281e+09     -21.5828
  1.15312e+09     -21.5878
  1.15344e+09     -21.5817
  1.15375e+09     -21.5751
  1.15406e+09      -21.562
  1.15438e+09     -21.5437
  1.15469e+09     -21.5303
    1.155e+09     -21.5192
  1.15531e+09     -21.5002
  1.15562e+09     -21.4858
  1.15594e+09     -21.4747
  1.15625e+09     -21.4716
  1.15656e+09     -21.4731
  1.15688e+09     -21.4865
  1.15719e+09     -21.5031
   1.1575e+09     -21.5237
  1.15781e+09     -21.5561
  1.15812e+09      -21.593
  1.15844e+09     -21.6387
  1.15875e+09     -21.6891
  1.15906e+09      -21.744
  1.15938e+09      -21.803
  1.15969e+09     -21.8663
     1.16e+09     -21.9299
  1.16031e+09     -21.9964
  1.16062e+09     -22.0669
  1.16094e+09      -22.136
  1.16125e+09     -22.2034
  1.16156e+09     -22.2697
  1.16188e+09      -22.328
  1.16219e+09      -22.391
   1.1625e+09     -22.4502
  1.16281e+09     -22.4992
  1.16312e+09     -22.5408
  1.16344e+09     -22.5798
  1.16375e+09     -22.6171
  1.16406e+09     -22.6477
  1.16438e+09     -22.6759
  1.16469e+09     -22.7019
    1.165e+09     -22.7221
  1.16531e+09     -22.7425
  1.16562e+09     -22.7607
  1.16594e+09     -22.7852
  1.16625e+09     -22.8091
  1.16656e+09     -22.8322
  1.16688e+09     -22.8571
  1.16719e+09     -22.8848
   1.1675e+09     -22.9207
  1.16781e+09     -22.9578
  1.16812e+09      -23.002
  1.16844e+09     -23.0523
  1.16875e+09     -23.1121
  1.16906e+09     -23.1733
  1.16938e+09     -23.2467
  1.16969e+09     -23.3241
     1.17e+09     -23.4196
  1.17031e+09     -23.5179
  1.17062e+09     -23.6193
  1.17094e+09     -23.7359
  1.17125e+09     -23.8472
  1.17156e+09     -23.9662
  1.17188e+09      -24.093
  1.17219e+09     -24.2135
   1.1725e+09     -24.3282
  1.17281e+09     -24.4566
  1.17312e+09     -24.5763
  1.17344e+09     -24.6994
  1.17375e+09     -24.8212
  1.17406e+09     -24.9381
  1.17438e+09     -25.0486
  1.17469e+09     -25.1619
    1.175e+09     -25.2673
  1.17531e+09     -25.3772
  1.17562e+09     -25.4806
  1.17594e+09     -25.5731
  1.17625e+09     -25.6667
  1.17656e+09     -25.7594
  1.17688e+09     -25.8468
  1.17719e+09     -25.9278
   1.1775e+09     -26.0106
  1.17781e+09     -26.0963
  1.17812e+09     -26.1899
  1.17844e+09     -26.2679
  1.17875e+09     -26.3505
  1.17906e+09     -26.4426
  1.17938e+09     -26.5387
  1.17969e+09     -26.6331
     1.18e+09     -26.7372
  1.18031e+09     -26.8472
  1.18062e+09     -26.9672
  1.18094e+09     -27.0904
  1.18125e+09     -27.2183
  1.18156e+09     -27.3547
  1.18188e+09     -27.4939
  1.18219e+09     -27.6396
   1.1825e+09       -27.79
  1.18281e+09     -27.9413
  1.18312e+09     -28.1032
  1.18344e+09     -28.2641
  1.18375e+09     -28.4202
  1.18406e+09     -28.5766
  1.18438e+09     -28.7382
  1.18469e+09     -28.8842
    1.185e+09     -29.0367
  1.18531e+09     -29.1729
  1.18562e+09     -29.3131
  1.18594e+09      -29.456
  1.18625e+09      -29.577
  1.18656e+09     -29.6983
  1.18688e+09     -29.8249
  1.18719e+09      -29.923
   1.1875e+09     -30.0346
  1.18781e+09      -30.126
  1.18812e+09     -30.2241
  1.18844e+09     -30.3164
  1.18875e+09     -30.4024
  1.18906e+09     -30.4901
  1.18938e+09     -30.5802
  1.18969e+09     -30.6567
     1.19e+09     -30.7612
  1.19031e+09     -30.8486
  1.19062e+09     -30.9332
  1.19094e+09     -31.0446
  1.19125e+09      -31.156
  1.19156e+09     -31.2668
  1.19188e+09     -31.3984
  1.19219e+09     -31.5264
   1.1925e+09      -31.661
  1.19281e+09     -31.8213
  1.19312e+09     -31.9717
  1.19344e+09     -32.1273
  1.19375e+09     -32.2901
  1.19406e+09     -32.4844
  1.19438e+09      -32.651
  1.19469e+09     -32.8342
    1.195e+09     -33.0331
  1.19531e+09     -33.2088
  1.19562e+09     -33.4012
  1.19594e+09     -33.5891
  1.19625e+09     -33.7719
  1.19656e+09     -33.9707
  1.19688e+09     -34.1582
  1.19719e+09     -34.3253
   1.1975e+09     -34.4999
  1.19781e+09      -34.695
  1.19812e+09     -34.8583
  1.19844e+09     -35.0361
  1.19875e+09     -35.2083
  1.19906e+09     -35.3515
  1.19938e+09     -35.5246
  1.19969e+09     -35.6999
      1.2e+09     -35.8689
  1.20031e+09     -36.0321
  1.20062e+09     -36.2124
  1.20094e+09      -36.391
  1.20125e+09     -36.5533
  1.20156e+09     -36.7573
  1.20188e+09     -36.9337
  1.20219e+09     -37.1272
   1.2025e+09     -37.3265
  1.20281e+09     -37.5344
  1.20312e+09     -37.7538
  1.20344e+09     -37.9736
  1.20375e+09     -38.2128
  1.20406e+09      -38.473
  1.20438e+09       -38.73
  1.20469e+09     -38.9925
    1.205e+09     -39.2695
  1.20531e+09     -39.5504
  1.20562e+09     -39.8369
  1.20594e+09     -40.1696
  1.20625e+09     -40.4768
  1.20656e+09     -40.7686
  1.20688e+09     -41.0954
  1.20719e+09     -41.4368
   1.2075e+09     -41.7607
  1.20781e+09     -42.0862
  1.20812e+09     -42.4468
  1.20844e+09     -42.7593
  1.20875e+09     -43.1299
  1.20906e+09      -43.512
  1.20938e+09     -43.8675
  1.20969e+09     -44.1958
     1.21e+09     -44.6217
  1.21031e+09     -44.9427
  1.21062e+09     -45.3672
  1.21094e+09     -45.7006
  1.21125e+09     -46.1548
  1.21156e+09     -46.5471
  1.21188e+09     -46.9928
  1.21219e+09     -47.4416
   1.2125e+09     -47.8891
  1.21281e+09     -48.2979
  1.21312e+09     -48.8891
  1.21344e+09     -49.3603
  1.21375e+09     -49.8364
  1.21406e+09     -50.4274
  1.21438e+09     -51.0918
  1.21469e+09     -51.7234
    1.215e+09      -52.295
  1.21531e+09     -52.9182
  1.21562e+09     -53.6389
  1.21594e+09     -54.4369
  1.21625e+09     -55.3708
  1.21656e+09     -56.3219
  1.21688e+09     -57.3726
  1.21719e+09     -58.3144
   1.2175e+09     -59.6581
  1.21781e+09     -61.0607
  1.21812e+09     -62.7057
  1.21844e+09     -64.0737
  1.21875e+09     -66.4001
  1.21906e+09     -69.1769
  1.21938e+09     -70.9841
  1.21969e+09      -71.894
     1.22e+09     -70.7533
  1.22031e+09      -69.275
  1.22062e+09      -67.554
  1.22094e+09     -65.8322
  1.22125e+09     -64.6149
  1.22156e+09     -63.3456
  1.22188e+09      -62.169
  1.22219e+09     -61.3943
   1.2225e+09     -60.5187
  1.22281e+09     -59.7002
  1.22312e+09     -59.1587
  1.22344e+09     -58.5903
  1.22375e+09     -57.8831
  1.22406e+09     -57.5984
  1.22438e+09     -57.1528
  1.22469e+09     -56.7296
    1.225e+09     -56.4331
  1.22531e+09     -56.0018
  1.22562e+09     -55.6833
  1.22594e+09     -55.5057
