#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#       f(Hz)      Re(Z11)      Im(Z11)      Re(Z12)      Im(Z12)      Re(Z21)      Im(Z21)      Re(Z22)      Im(Z22) 
  6.77525e+09     0.472128    -0.647634   -0.0686291      1.39621   -0.0686291      1.39621     0.472128    -0.647634
  6.83521e+09     0.472129    -0.652981    -0.070007      1.40849    -0.070007      1.40849     0.472129    -0.652981
  6.89517e+09      0.47213    -0.659585   -0.0713638      1.42077   -0.0713638      1.42077      0.47213    -0.659585
  6.95513e+09     0.472131    -0.666886   -0.0727284      1.43305   -0.0727284      1.43305     0.472131    -0.666886
  7.01509e+09     0.472132    -0.673455   -0.0740354      1.44533   -0.0740354      1.44533     0.472132    -0.673455
  7.07504e+09     0.472134    -0.675922   -0.0753802      1.45761   -0.0753802      1.45761     0.472134    -0.675922
    7.135e+09     0.472135    -0.682664    -0.076658      1.46989    -0.076658      1.46989     0.472135    -0.682664
  7.19496e+09     0.472136    -0.689138   -0.0779491      1.48218   -0.0779491      1.48218     0.472136    -0.689138
  7.25492e+09     0.472137    -0.695767   -0.0792238      1.49447   -0.0792238      1.49447     0.472137    -0.695767
  7.31488e+09     0.472139    -0.702314   -0.0804837      1.50677   -0.0804837      1.50677     0.472139    -0.702314
  7.37483e+09      0.47214    -0.704961   -0.0816998      1.51908   -0.0816998      1.51908      0.47214    -0.704961
  7.43479e+09     0.472141    -0.711424    -0.082927      1.53139    -0.082927      1.53139     0.472141    -0.711424
  7.49475e+09     0.472142    -0.717911   -0.0841098      1.54372   -0.0841098      1.54372     0.472142    -0.717911
  7.55471e+09     0.472144    -0.724524   -0.0853005      1.55606   -0.0853005      1.55606     0.472144    -0.724524
  7.61467e+09     0.472145    -0.731076   -0.0864459      1.56842   -0.0864459      1.56842     0.472145    -0.731076
  7.67462e+09     0.472146    -0.733491   -0.0876007      1.58079   -0.0876007      1.58079     0.472146    -0.733491
  7.73458e+09     0.472147    -0.739969   -0.0887077      1.59319   -0.0887077      1.59319     0.472147    -0.739969
  7.79454e+09     0.472149    -0.746354   -0.0898231       1.6056   -0.0898231       1.6056     0.472149    -0.746354
   7.8545e+09      0.47215    -0.752758   -0.0909175      1.61803   -0.0909175      1.61803      0.47215    -0.752758
  7.91446e+09     0.472151    -0.759279   -0.0919902      1.63048   -0.0919902      1.63048     0.472151    -0.759279
  7.97441e+09     0.472152    -0.761671   -0.0930363      1.64296   -0.0930363      1.64296     0.472152    -0.761671
  8.03437e+09     0.472154    -0.768008    -0.094078      1.65547    -0.094078      1.65547     0.472154    -0.768008
  8.09433e+09     0.472155    -0.774486   -0.0950986      1.66799   -0.0950986      1.66799     0.472155    -0.774486
  8.15429e+09     0.472156    -0.780711   -0.0961075      1.68056   -0.0961075      1.68056     0.472156    -0.780711
  8.21425e+09     0.472157    -0.786983    -0.097101      1.69315    -0.097101      1.69315     0.472157    -0.786983
  8.27421e+09     0.472159    -0.789945   -0.0980798      1.70577   -0.0980798      1.70577     0.472159    -0.789945
  8.33416e+09      0.47216    -0.795466   -0.0990464      1.71842   -0.0990464      1.71842      0.47216    -0.795466
  8.39412e+09     0.472161    -0.801649   -0.0999977      1.73111   -0.0999977      1.73111     0.472161    -0.801649
  8.45408e+09     0.472162    -0.807811    -0.100942      1.74383    -0.100942      1.74383     0.472162    -0.807811
  8.51404e+09     0.472163    -0.813856    -0.101877      1.75659    -0.101877      1.75659     0.472163    -0.813856
  8.57399e+09     0.472165    -0.816002    -0.102801      1.76938    -0.102801      1.76938     0.472165    -0.816002
  8.63395e+09     0.472166    -0.821989    -0.103719      1.78222    -0.103719      1.78222     0.472166    -0.821989
  8.69391e+09     0.472167    -0.828009    -0.104632      1.79509    -0.104632      1.79509     0.472167    -0.828009
  8.75387e+09     0.472168     -0.83403    -0.105537      1.80801    -0.105537      1.80801     0.472168     -0.83403
  8.81383e+09      0.47217     -0.83998    -0.106438      1.82096    -0.106438      1.82096      0.47217     -0.83998
  8.87378e+09     0.472171    -0.841848    -0.107341      1.83397    -0.107341      1.83397     0.472171    -0.841848
  8.93374e+09     0.472172    -0.847536     -0.10824      1.84701     -0.10824      1.84701     0.472172    -0.847536
   8.9937e+09     0.472173    -0.853467    -0.109139       1.8601    -0.109139       1.8601     0.472173    -0.853467
  9.05366e+09     0.472175    -0.859187     -0.11004      1.87323     -0.11004      1.87323     0.472175    -0.859187
  9.11362e+09     0.472176    -0.864875    -0.110943       1.8864    -0.110943       1.8864     0.472176    -0.864875
  9.17357e+09     0.472177    -0.866462    -0.111852      1.89963    -0.111852      1.89963     0.472177    -0.866462
  9.23353e+09     0.472179    -0.872093    -0.112766      1.91292    -0.112766      1.91292     0.472179    -0.872093
  9.29349e+09      0.47218    -0.877552    -0.113684      1.92622    -0.113684      1.92622      0.47218    -0.877552
  9.35345e+09     0.472181    -0.883222     -0.11461       1.9396     -0.11461       1.9396     0.472181    -0.883222
