#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#       f(Hz)      Re(S11)      Im(S11)      Re(S12)      Im(S12)      Re(S21)      Im(S21)      Re(S22)      Im(S22) 
  5.69601e+09    -0.997473  -0.00289396 -0.000243678   0.00621311 -0.000243678   0.00621311    -0.997473  -0.00289396
  5.75597e+09    -0.997473  -0.00292857 -0.000251765   0.00627927 -0.000251765   0.00627927    -0.997473  -0.00292857
  5.81593e+09    -0.997472  -0.00295888 -0.000259853   0.00634533 -0.000259853   0.00634533    -0.997472  -0.00295888
  5.87588e+09    -0.997472  -0.00297435 -0.000267916   0.00641135 -0.000267916   0.00641135    -0.997472  -0.00297435
  5.93584e+09    -0.997471  -0.00300328 -0.000275996   0.00647724 -0.000275996   0.00647724    -0.997471  -0.00300328
   5.9958e+09    -0.997471  -0.00304233 -0.000284181   0.00654305 -0.000284181   0.00654305    -0.997471  -0.00304233
  6.05576e+09     -0.99747  -0.00307198 -0.000292357    0.0066088 -0.000292357    0.0066088     -0.99747  -0.00307198
  6.11572e+09     -0.99747  -0.00311058 -0.000300633   0.00667444 -0.000300633   0.00667444     -0.99747  -0.00311058
  6.17567e+09    -0.997469   -0.0031203 -0.000308635   0.00674002 -0.000308635   0.00674002    -0.997469   -0.0031203
  6.23563e+09    -0.997469  -0.00315293 -0.000316876   0.00680553 -0.000316876   0.00680553    -0.997469  -0.00315293
  6.29559e+09    -0.997468  -0.00318859 -0.000324973   0.00687094 -0.000324973   0.00687094    -0.997468  -0.00318859
  6.35555e+09    -0.997467  -0.00322728 -0.000333165   0.00693631 -0.000333165   0.00693631    -0.997467  -0.00322728
  6.41551e+09    -0.997467  -0.00326018 -0.000341204   0.00700159 -0.000341204   0.00700159    -0.997467  -0.00326018
  6.47546e+09    -0.997466  -0.00326896 -0.000349183   0.00706684 -0.000349183   0.00706684    -0.997466  -0.00326896
  6.53542e+09    -0.997466  -0.00330554 -0.000357273   0.00713199 -0.000357273   0.00713199    -0.997466  -0.00330554
  6.59538e+09    -0.997465  -0.00334289 -0.000365199   0.00719713 -0.000365199   0.00719713    -0.997465  -0.00334289
  6.65534e+09    -0.997465   -0.0033745 -0.000373208   0.00726222 -0.000373208   0.00726222    -0.997465   -0.0033745
   6.7153e+09    -0.997464  -0.00340833 -0.000381043   0.00732727 -0.000381043   0.00732727    -0.997464  -0.00340833
  6.77525e+09    -0.997464  -0.00342674 -0.000388799   0.00739229 -0.000388799   0.00739229    -0.997464  -0.00342674
  6.83521e+09    -0.997463  -0.00345497  -0.00039653    0.0074573  -0.00039653    0.0074573    -0.997463  -0.00345497
  6.89517e+09    -0.997462  -0.00348986 -0.000404203   0.00752228 -0.000404203   0.00752228    -0.997462  -0.00348986
  6.95513e+09    -0.997462  -0.00352844  -0.00041195   0.00758728  -0.00041195   0.00758728    -0.997462  -0.00352844
  7.01509e+09    -0.997461  -0.00356315 -0.000419367   0.00765226 -0.000419367   0.00765226    -0.997461  -0.00356315
  7.07504e+09    -0.997461  -0.00357613 -0.000426821   0.00771723 -0.000426821   0.00771723    -0.997461  -0.00357613
    7.135e+09     -0.99746  -0.00361174 -0.000434098   0.00778222 -0.000434098   0.00778222     -0.99746  -0.00361174
  7.19496e+09    -0.997459  -0.00364594 -0.000441439   0.00784725 -0.000441439   0.00784725    -0.997459  -0.00364594
  7.25492e+09    -0.997459  -0.00368096 -0.000448705   0.00791229 -0.000448705   0.00791229    -0.997459  -0.00368096
  7.31488e+09    -0.997458  -0.00371555 -0.000455893   0.00797739 -0.000455893   0.00797739    -0.997458  -0.00371555
  7.37483e+09    -0.997457  -0.00372948 -0.000462687   0.00804252 -0.000462687   0.00804252    -0.997457  -0.00372948
  7.43479e+09    -0.997457  -0.00376362 -0.000469707   0.00810769 -0.000469707   0.00810769    -0.997457  -0.00376362
  7.49475e+09    -0.997456  -0.00379789 -0.000476497   0.00817294 -0.000476497   0.00817294    -0.997456  -0.00379789
  7.55471e+09    -0.997455  -0.00383282  -0.00048334   0.00823825  -0.00048334   0.00823825    -0.997455  -0.00383282
  7.61467e+09    -0.997455  -0.00386743 -0.000489944   0.00830364 -0.000489944   0.00830364    -0.997455  -0.00386743
  7.67462e+09    -0.997454  -0.00388013  -0.00049642   0.00836914  -0.00049642   0.00836914    -0.997454  -0.00388013
  7.73458e+09    -0.997453  -0.00391436 -0.000502826   0.00843471 -0.000502826   0.00843471    -0.997453  -0.00391436
  7.79454e+09    -0.997453  -0.00394808 -0.000509278    0.0085004 -0.000509278    0.0085004    -0.997453  -0.00394808
   7.8545e+09    -0.997452  -0.00398191 -0.000515624   0.00856616 -0.000515624   0.00856616    -0.997452  -0.00398191
  7.91446e+09    -0.997451  -0.00401635 -0.000521865   0.00863209 -0.000521865   0.00863209    -0.997451  -0.00401635
  7.97441e+09    -0.997451  -0.00402893  -0.00052778   0.00869813  -0.00052778   0.00869813    -0.997451  -0.00402893
  8.03437e+09     -0.99745  -0.00406241 -0.000533857    0.0087643 -0.000533857    0.0087643     -0.99745  -0.00406241
  8.09433e+09    -0.997449  -0.00409662 -0.000539835    0.0088306 -0.000539835    0.0088306    -0.997449  -0.00409662
  8.15429e+09    -0.997448   -0.0041295 -0.000545743   0.00889709 -0.000545743   0.00889709    -0.997448   -0.0041295
  8.21425e+09    -0.997448  -0.00416262 -0.000551578   0.00896371 -0.000551578   0.00896371    -0.997448  -0.00416262
  8.27421e+09    -0.997447  -0.00417823 -0.000557181   0.00903051 -0.000557181   0.00903051    -0.997447  -0.00417823
  8.33416e+09    -0.997446  -0.00420737 -0.000562845   0.00909748 -0.000562845   0.00909748    -0.997446  -0.00420737
  8.39412e+09    -0.997446  -0.00424003 -0.000568466   0.00916462 -0.000568466   0.00916462    -0.997446  -0.00424003
  8.45408e+09    -0.997445  -0.00427257 -0.000574054   0.00923193 -0.000574054   0.00923193    -0.997445  -0.00427257
  8.51404e+09    -0.997444  -0.00430449 -0.000579593   0.00929945 -0.000579593   0.00929945    -0.997444  -0.00430449
  8.57399e+09    -0.997443  -0.00431577 -0.000584884   0.00936717 -0.000584884   0.00936717    -0.997443  -0.00431577
  8.63395e+09    -0.997443  -0.00434739 -0.000590337   0.00943509 -0.000590337   0.00943509    -0.997443  -0.00434739
  8.69391e+09    -0.997442  -0.00437917  -0.00059577   0.00950322  -0.00059577   0.00950322    -0.997442  -0.00437917
  8.75387e+09    -0.997441  -0.00441097 -0.000601168   0.00957158 -0.000601168   0.00957158    -0.997441  -0.00441097
  8.81383e+09     -0.99744  -0.00444239 -0.000606544   0.00964014 -0.000606544   0.00964014     -0.99744  -0.00444239
  8.87378e+09    -0.997439  -0.00445219 -0.000611727   0.00970895 -0.000611727   0.00970895    -0.997439  -0.00445219
  8.93374e+09    -0.997439  -0.00448222 -0.000617093   0.00977798 -0.000617093   0.00977798    -0.997439  -0.00448222
   8.9937e+09    -0.997438  -0.00451353  -0.00062247   0.00984724  -0.00062247   0.00984724    -0.997438  -0.00451353
  9.05366e+09    -0.997437  -0.00454373 -0.000627859   0.00991673 -0.000627859   0.00991673    -0.997437  -0.00454373
  9.11362e+09    -0.997436  -0.00457375 -0.000633259   0.00998645 -0.000633259   0.00998645    -0.997436  -0.00457375
  9.17357e+09    -0.997435  -0.00458206 -0.000638477    0.0100565 -0.000638477    0.0100565    -0.997435  -0.00458206
  9.23353e+09    -0.997435  -0.00461178  -0.00064394    0.0101268  -0.00064394    0.0101268    -0.997435  -0.00461178
  9.29349e+09    -0.997434  -0.00464059 -0.000649423    0.0101972 -0.000649423    0.0101972    -0.997434  -0.00464059
  9.35345e+09    -0.997433  -0.00467051 -0.000654963     0.010268 -0.000654963     0.010268    -0.997433  -0.00467051
  9.41341e+09    -0.997432  -0.00469921 -0.000660548    0.0103389 -0.000660548    0.0103389    -0.997432  -0.00469921
  9.47337e+09    -0.997431  -0.00471003 -0.000666039    0.0104102 -0.000666039    0.0104102    -0.997431  -0.00471003
  9.53332e+09     -0.99743  -0.00473459 -0.000671736    0.0104817 -0.000671736    0.0104817     -0.99743  -0.00473459
  9.59328e+09    -0.997429  -0.00476176 -0.000677557    0.0105534 -0.000677557    0.0105534    -0.997429  -0.00476176
  9.65324e+09    -0.997429  -0.00478917 -0.000683456    0.0106255 -0.000683456    0.0106255    -0.997429  -0.00478917
   9.7132e+09    -0.997428  -0.00481717 -0.000689442    0.0106977 -0.000689442    0.0106977    -0.997428  -0.00481717
  9.77315e+09    -0.997427   -0.0048262 -0.000695324    0.0107702 -0.000695324    0.0107702    -0.997427   -0.0048262
  9.83311e+09    -0.997426  -0.00484686 -0.000701535    0.0108431 -0.000701535    0.0108431    -0.997426  -0.00484686
  9.89307e+09    -0.997425  -0.00487776 -0.000707867     0.010916 -0.000707867     0.010916    -0.997425  -0.00487776
  9.95303e+09    -0.997424  -0.00490053 -0.000714344    0.0109894 -0.000714344    0.0109894    -0.997424  -0.00490053
